Zip Code,Location,Population,Avg. Income/H/hold,City,Latitude,Longitude,NatRank
76123,"32.610631, -97.399539","11,636",65585.00,Fort Worth,32.610631,97.399539,"2,071"
75680,"32.013987, -94.714824",82,65500.00,Minden,32.013987,94.714824,"2,078"
78634,"30.554886, -97.547010","3,912",65329.00,Hutto,30.554886,97.54701,"2,099"
77356,"30.465662, -95.729888","14,470",64670.00,Montgomery,30.465662,95.729888,"2,191"
76063,"32.573270, -97.137412","32,675",64630.00,Mansfield,32.57327,97.137412,"2,193"
79124,"35.224797, -101.977372","5,034",64507.00,Amarillo,35.224797,1.977372,"2,205"
78066,"29.464291, -98.885504",432,64500.00,Rio Medina,29.464291,98.885504,"2,206"
78232,"29.588170, -98.474280","33,743",64301.00,San Antonio,29.58817,98.47428,"2,227"
77586,"29.582725, -95.034024","18,802",64139.00,Seabrook,29.582725,95.034024,"2,250"
75229,"32.892739, -96.867323","31,113",64067.00,Dallas,32.892739,96.867323,"2,256"
75044,"32.969388, -96.662855","36,121",63889.00,Garland,32.969388,96.662855,"2,284"
77428,"28.717530, -96.147938",77,63750.00,Collegeport,28.71753,96.147938,"2,299"
75126,"32.743178, -96.454900","10,696",63598.00,Forney,32.743178,96.4549,"2,334"
76018,"32.659518, -97.086721","23,918",63393.00,Arlington,32.659518,97.086721,"2,358"
75056,"33.074077, -96.893335","28,376",62738.00,The Colony,33.074077,96.893335,"2,438"
78727,"30.428300, -97.718143","22,212",62648.00,Austin,30.4283,97.718143,"2,442"
76137,"32.863025, -97.287662","39,706",62613.00,Fort Worth,32.863025,97.287662,"2,446"
76017,"32.662513, -97.164024","42,060",62417.00,Arlington,32.662513,97.164024,"2,477"
78731,"30.345211, -97.767455","24,059",62404.00,Austin,30.345211,97.767455,"2,481"
78736,"30.250877, -97.968810","6,897",62294.00,Austin,30.250877,97.96881,"2,505"
75063,"32.917419, -96.985275","24,454",62199.00,Irving,32.917419,96.985275,"2,522"
77019,"29.752702, -95.407379","15,640",61899.00,Houston,29.752702,95.407379,"2,584"
78619,"30.102601, -98.034428","1,585",61875.00,Driftwood,30.102601,98.034428,"2,587"
78669,"30.429190, -98.098951","5,527",61672.00,Spicewood,30.42919,98.098951,"2,623"
77386,"30.103642, -95.361413","13,706",61652.00,Spring,30.103642,95.361413,"2,626"
79922,"31.819589, -106.579680","8,871",61599.00,El Paso,31.819589,6.57968,"2,639"
78759,"30.400789, -97.755969","40,547",61284.00,Austin,30.400789,97.755969,"2,701"
77566,"29.043994, -95.459441","28,099",61280.00,Lake Jackson,29.043994,95.459441,"2,702"
76127,"32.764822, -97.419502",289,61250.00,Naval Air Station Jrb,32.764822,97.419502,"2,709"
77536,"29.686945, -95.116541","28,635",61082.00,Deer Park,29.686945,95.116541,"2,753"
77064,"29.924216, -95.537411","35,966",60945.00,Houston,29.924216,95.537411,"2,783"
76065,"32.469666, -96.990759","16,521",60945.00,Midlothian,32.469666,96.990759,"2,784"
77070,"29.979670, -95.572835","32,385",60887.00,Houston,29.97967,95.572835,"2,797"
78747,"30.122470, -97.746210","5,079",60861.00,Austin,30.12247,97.74621,"2,805"
75166,"33.017466, -96.442791",473,60833.00,Lavon,33.017466,96.442791,"2,814"
75081,"32.948918, -96.709719","32,660",60597.00,Richardson,32.948918,96.709719,"2,870"
75167,"32.360829, -96.915523","3,863",60566.00,Waxahachie,32.360829,96.915523,"2,876"
78610,"30.078541, -97.836492","13,233",60528.00,Buda,30.078541,97.836492,"2,886"
78253,"29.469473, -98.787574","9,839",60524.00,San Antonio,29.469473,98.787574,"2,887"
77505,"29.648337, -95.141499","20,395",60403.00,Pasadena,29.648337,95.141499,"2,918"
77581,"29.565195, -95.273675","30,679",60304.00,Pearland,29.565195,95.273675,"2,946"
75052,"32.673361, -97.019488","56,252",60254.00,Grand Prairie,32.673361,97.019488,"2,963"
75098,"33.012886, -96.540660","20,905",60238.00,Wylie,33.012886,96.54066,"2,968"
75104,"32.585019, -96.972714","32,028",60140.00,Cedar Hill,32.585019,96.972714,"2,995"
77027,"29.744002, -95.443213","14,217",60032.00,Houston,29.744002,95.443213,"3,021"
78664,"30.520610, -97.644495","46,097",59829.00,Round Rock,30.52061,97.644495,"3,055"
76021,"32.852971, -97.130443","33,643",59599.00,Bedford,32.852971,97.130443,"3,090"
78247,"29.580505, -98.407494","39,773",59537.00,San Antonio,29.580505,98.407494,"3,104"
79119,"35.089458, -102.020180","4,066",59508.00,Amarillo,35.089458,2.02018,"3,107"
78729,"30.457246, -97.756419","24,561",59497.00,Austin,30.457246,97.756419,"3,110"
76571,"30.925736, -97.598650","5,051",59489.00,Salado,30.925736,97.59865,"3,112"
75137,"32.643212, -96.916468","17,812",59459.00,Duncanville,32.643212,96.916468,"3,116"
77469,"29.562807, -95.726725","44,646",59318.00,Richmond,29.562807,95.726725,"3,137"
77449,"29.837305, -95.743268","38,714",59198.00,Katy,29.837305,95.743268,"3,154"
77565,"29.519967, -95.030103","6,389",59180.00,Kemah,29.519967,95.030103,"3,160"
77578,"29.470968, -95.360468","5,403",58708.00,Manvel,29.470968,95.360468,"3,236"
79366,"33.528199, -101.701664","1,459",58661.00,Ransom Canyon,33.528199,1.701664,"3,241"
77065,"29.926556, -95.603242","27,070",58426.00,Houston,29.926556,95.603242,"3,288"
